direction,feature_space,primary,model,tgt_macro_f1_mean,tgt_macro_f1_std,stest_macro_f1_mean,tgt_attack_recall_mean,tgt_balanced_acc_mean,macro_f1_abs_drop_mean,macro_f1_rel_drop_mean,attack_to_benign_mean,beats_majority_all,reproduced_all,runtime_sec_mean
CICIoMT2024_to_IoMT_IND2026,exploratory_unverified,False,mlp,0.4854766363498908,0.01636738608147504,0.7249235789166458,0.3933451510451289,0.4972933969170248,0.23944694256675506,0.33028030968931876,5475.666666666667,True,True,259.3925992647807
CICIoMT2024_to_IoMT_IND2026,exploratory_unverified,False,rf,0.46895616721124794,0.11565421922857234,0.9245047741964946,0.6558091439545017,0.5378297550399698,0.4555486069852466,0.4927777470514931,3106.6666666666665,False,True,16.285308917363484
CICIoMT2024_to_IoMT_IND2026,exploratory_unverified,False,xgb,0.46154732016690375,0.0959870270140002,0.9317250030896953,0.6433266858704484,0.5176837186117603,0.47017768292279155,0.5045714124940356,3219.3333333333335,False,True,14.733534097671509
CICIoMT2024_to_IoMT_IND2026,verified,True,mlp,0.47690273483334233,0.0,0.5073849457618856,0.49944604475958343,0.49771729172076595,0.030482210928543307,0.06007708975829276,4518.0,True,True,255.57462811470032
CICIoMT2024_to_IoMT_IND2026,verified,True,rf,0.47690273483334233,0.0,0.5073849457618856,0.49944604475958343,0.49771729172076595,0.030482210928543307,0.06007708975829276,4518.0,True,True,14.971284548441568
CICIoMT2024_to_IoMT_IND2026,verified,True,xgb,0.47690273483334233,0.0,0.5073849457618856,0.49944604475958343,0.49771729172076595,0.030482210928543307,0.06007708975829276,4518.0,True,True,12.622862497965494
IoMT_IND2026_to_CICIoMT2024,exploratory_unverified,False,mlp,0.4951269263029528,1.5328415045061338e-05,0.9992862654826594,0.999955388526817,0.500491782952571,0.5041593391797066,0.5045194194274115,70.33333333333333,True,True,207.60812632242838
IoMT_IND2026_to_CICIoMT2024,exploratory_unverified,False,rf,0.494133629296732,0.0,1.0,1.0,0.5000132953971335,0.505866370703268,0.505866370703268,0.0,True,True,11.517786741256714
IoMT_IND2026_to_CICIoMT2024,exploratory_unverified,False,xgb,0.393361893145193,8.28273733949484e-05,0.9994844923383172,0.5524667924667924,0.6731763412524973,0.6061225991931242,0.6064351942147592,705569.6666666666,False,True,10.266814390818277
IoMT_IND2026_to_CICIoMT2024,verified,True,mlp,0.15173372770706176,0.22337617006005056,0.44050380981598397,0.22725951297379868,0.4691531076360649,0.28877008210892224,0.6893432559620335,1218283.3333333333,False,True,215.57892274856567
IoMT_IND2026_to_CICIoMT2024,verified,True,rf,0.151677534621054,0.22342485059967335,0.46403869180822904,0.22730243301671874,0.4669276455419613,0.3123611571871751,0.6921626609332083,1218215.6666666667,False,True,10.408001025517782
IoMT_IND2026_to_CICIoMT2024,verified,True,xgb,0.022767435792343933,0.0,0.41134640317447846,0.0,0.5,0.38857896738213454,0.9446514285365302,1576575.0,False,True,7.224655469258626
